title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
STP 21-1-SMCT September 2025,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,STP211SMCTSeptember2025619567,2025-10-17,2025-10-22,Inactive,,"COVERS 1 and 4 and SPINE print in PMS 4485 + Black (build not acceptable of PMS). Covers 2 and 3 print in Black. Text pages print black ink and do not bleed. SET margins as 1” gutter, 1/4” top, bottom, and outside edge. Wrap around PUR",https://sam.gov/opp/803c74ea9f5b4c7187ed8d5ccf4ba685/view,,
A/E Design of Freight Elevator #12 at GPO Building A,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Presolicitation,040ADV-26-R-0001,2025-10-08,2025-10-24,Inactive,,"The purpose of this pre-solicitation notice is to alert interested vendors of a pending solicitation to be issued on or about October 30, 2025. Responses are not required or requested at this time. This project is intende",https://sam.gov/opp/faad0bec3ce44026b5742309cb7bbc68/view,,
GPO SPOT SALE: Heidelberg Speed Master CD 102 6-Color Press,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-25-Q-0033,2025-10-08,2025-11-07,Inactive,,SPOT SALE NO: 040ADV-25-Q-0033 TYPE: SURPLUS GOVERNMENT PROPERTY SALE OF MISCELLANEOUS: GPO SPOT SALE: Heidelberg Speed Master CD 102 6-Color Press OFFERED BY</stro,https://sam.gov/opp/228a37caff8d434fa4e4b1cef7675dc0/view,,
GPO Sixth (6th) Floor- Building A - HVAC Duct Cleaning,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-25-R-0039-0002,2025-10-01,2025-10-17,Inactive,,The purpose of this amendment is to release the response for the Q&A. ,https://sam.gov/opp/f86f1d35f89d4dae8f5b781608416ec4/view,,
SHARP FY25 6 Panel Popup Displays,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,SHARPFY256PanelPopupDisplays619495,2025-10-01,2025-10-09,Inactive,,Two versions of 3D Pop-Up Floor Standing Display with 6 Custom Full-Color Panels installed. Frame to collapse and inserted into heavy duty lockable hard case with wheels for easy transportation.,https://sam.gov/opp/456b38dcfe91488ba85c539c7b7bc4ac/view,,
Forest Service EIS and BLM Planning Documents (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,ForestServiceEISandBLMPlanningDocuments1073S(2025),2025-10-01,2025-10-08,Inactive,,"These specifications cover the production of various binding style books, requiring such operations as printing, binding, packing, labeling, and delivery. Most orders will require a mix of process-color with black text. Complete specificat",https://sam.gov/opp/f13d99b70f3040d29f392ed6ac26e914/view,,
"Appellate Briefs, Appendixes, and Addendums",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,4551S_r3,2025-09-30,2025-10-21,Inactive,,"These specifications cover the production of legal materials publications, requiring such operations as pickup, electronic prepress, proofs, printing, Case Management/Electronic Case Filing (CM./ECF), Appeals Case Management System (ACMS), perfect",https://sam.gov/opp/a57eeb2920df44af87c94e9b31235f78/view,,
The Soldier's Green Book (TP 600-4),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,619360R1,2025-09-30,2025-10-08,Inactive,,"Cover 1 prints four color process, full bleed. Cover 2 prints four color process, no bleed. Cover 3 prints four color process, no bleed. Cover 4 (no file supplied) prints full bleed of process build for PMS 5415 blue. Both sides of the covers will",https://sam.gov/opp/bf4529078f614d81a6e8880dec2959ed/view,,
Bar Code Labels,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM136S(2025),2025-09-30,2025-10-17,Inactive,,"These specifications cover the production of pressure sensitive (self-sticking) bar code labels requiring such operations as: thermal transfer printing, construction, die-cutting, packing, product identification, and delivery Complete spec",https://sam.gov/opp/020734eeb3044703a1716e955598439f/view,,
NATOPS Pocket Checklists,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,NATOPSPocketChecklists6936S(2025),2025-09-29,,Inactive,,This is the award information for Program 6936S.,https://sam.gov/opp/9b419177323c4329bcfe454197171fca/view,West Shore Printing & Dist.,
Endpoint Wire Machine,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGR-0036,2025-09-29,2025-10-14,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress (Library), Contracts and Grants Directorate(CGD), intends to award a s",https://sam.gov/opp/cdcdec76b5774474ba9b9a845e121c61/view,,
GPO Sixth (6th) Floor- Building A - HVAC Duct Cleaning,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-25-R-0039-0001,2025-09-26,2025-10-17,Inactive,,"The purpose of this amendment is to release the Q&A responses from Solicitation 040ADV-25-R-0033. Additionally, the deadline for Offeror Q&A submissions has been extended to 5:00 PM EST on Monday, September 29.",https://sam.gov/opp/0a75a00ee46b4e30a07841f92cb6b801/view,,
RFI for the Passport-style Book Hinge Material,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Combined Synopsis/Solicitation,040ADV-25-R-0040,2025-09-26,2025-10-08,Inactive,,Amendment 0001 is posted on 09 26 25 to provide responses to questions received. REQUEST FOR INFORMATION Subject: &nb,https://sam.gov/opp/cca9f446c85949498dcb3862290a8fa2/view,,
2026 Census Test,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,432-986,2025-09-26,2025-10-10,Inactive,,"These specifications cover the production of various mailing packages (consisting of questionnaires, letters, inserts, Business Reply Mail (BRM) envelopes, return envelopes, and outgoing envelopes) and postcards requiring such operations as electr",https://sam.gov/opp/d7a5dc11f89a4e869f83184fa0e99852/view,,
Cost of Living Adjustment Notice (COLA Self Mailer – Title II),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM041S(2025),2025-09-26,2025-10-10,Inactive,,"Specifications cover the production of two (2) versions of a self-mailer requiring such operations as receipt and processing of electronically transmitted files, composition, printing (including computerized imaging), folding, and distri",https://sam.gov/opp/f28f70410f60481ab436e4216df00b5f/view,,
Outdoor Furniture for Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25Q0230,2025-09-25,,Inactive,,,https://sam.gov/opp/f6aabf5574bc45e1bd727ab2e325537f/view,NORTH AMERICAN IMPORT AND EXPORT COMPANY LLC,
CFM 13th Edition & NJROTC Drill Manual - (combined),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,CFM13thEditionNJROTCDrillManualcombined648015(2025),2025-09-25,2025-09-29,Inactive,,"These specifications consist of desktop publishing, proofing, printing, binding and/or construction, and shipping to two destinations. Complete specifications may be found at: https://www.gpo.gov/how-to-work-with-us/vendors/contractopportunities</",https://sam.gov/opp/61f2f6c67ec44797942f87be071f17ed/view,,
CRS - Data Analysis Model Development 2025,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCCRS25C0001,2025-09-24,,Inactive,,Award is made per the requirements described in 030ADV25R0130.,https://sam.gov/opp/a684fe9a6808494dab79cf86b364193f/view,DSQUORUM LLC,
Patent Covers (Patent Full Ledger Covers),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,432984,2025-09-24,2025-09-29,Inactive,,Various Patent Covers (Dies required),https://sam.gov/opp/428dad86e4b94ae2a8106414b1b717e8/view,,
Copyright Office Application Forms and Circulars,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,CopyrightOfficeApplicationFormsandCirculars399S(2025),2025-09-24,2025-10-08,Inactive,,"These specifications cover the production of forms and saddle-stitched products requiring such operations as electronic prepress, printing, binding, packing, and distribution. Complete specifications may be found at: https://w",https://sam.gov/opp/a1785aef1667474faa7099d45cb8ee11/view,,
Library of Congress Collections Emergency Response and Recovery,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25R0042,2025-09-22,2025-10-06,Inactive,,"Amendment 1 answers questions received. _____ This is a competitive solicitation to obtain contractor services to respond, stabilize, and recover Library of Congress collections in the event of an emergency. The Library requi",https://sam.gov/opp/87a750bd2bf7467cb77ae409791cef60/view,,
American 250 Exhibition Audio Visual (AV) Design Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25R0023,2025-09-19,,Inactive,,,https://sam.gov/opp/187aea2e82814030afd972e3078d5673/view,"BATWIN AND ROBIN PRODUCTIONS, INC.",
Library of Congress - Pickford Theater Audio and Visual Upgrades,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,2025-LBN-0085,2025-09-19,,Inactive,,,https://sam.gov/opp/87464d6c060048d6889b0b6162fda51c/view,FORD AUDIO-VIDEO SYSTEMS LLC,
Social Security Cards - Form SSA-3000 (Cancelled),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,SocialSecurityCards-FormSSA-3000-831S(2025),2025-09-19,2025-09-22,Inactive,,"The specifications cover the production of one-part, marginally punched continuous forms requiring such operations as electronic prepress, composition, printing in multiple colors (including intaglio printing), construction, punching, packing, and",https://sam.gov/opp/c14c690d37ef439c8480dee0fad85f9e/view,,
Cannon Cafe - Amendment 0002,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Solicitation,OAM25078S,2025-09-19,2025-10-02,Inactive,,"Amendment 0002 has been uploaded (September 19, 2025) to 1) Provide clarification to the response issued for Question 5 in the RFI responses under Amendment 0001. 2) Extend the proposal submiss",https://sam.gov/opp/0880db13557d4d849c1697bd9f36f416/view,,
National Library Service for the Blind and Print Disabled (NLS) Business Study,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0004,2025-09-18,2025-09-29,Inactive,,Amendment 0003 to the solicitation provides responses to late offeror questions. The Library will not accept additional late questions. All other terms and conditions remain the same. The phase two proposal due date and time are the sa,https://sam.gov/opp/eae7ed30c020448a8499c62b41d9ec56/view,,
UCOR Business Cards,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program2587S,2025-09-18,2025-09-26,Inactive,,"These specifications cover the production of business cards requiring such operations as typesetting, PDF proofs, reproducibles, printing/imaging in full color, UV coating, cutting and trimming to size, packing, and delivery.",https://sam.gov/opp/6b7470045dbf4947abe38be0c1cfc853/view,,
Forest Service Intermountain Region (R4) Regional Office Records Keeping (on-site Scanning Services) (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,ForestServiceIntermountainRegion(R4)RegionalOfficeRecordsKeeping(on-siteScanningServices)672402(2025),2025-09-17,2025-09-29,Inactive,,"These specifications cover scanning on-site at agency location (Forest Service Regional Office, 324 25th Street, Ogden, Utah 84401) requiring such operations as high quality (300 ppi), Optical Character Recognition (OCR) capable (for content and k",https://sam.gov/opp/946aeed8ab9449ee81f02a96e2e95a86/view,,
Selective Service Machinable Forms,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,1524SSelectiveServiceMachinableForms,2025-09-17,2025-09-24,Inactive,,"These specifications cover the production of two different machinable single-sheet forms requiring operations such as: receipt of electronic artwork, prepress operations such as typesetting of minor corrections, PDF proofs, printing of Prior to Pr",https://sam.gov/opp/faf04dcf26324ea9a7b9dd999413fd08/view,,
Pubs. 10050-LE Medicare and You 2026 – LP,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Award Notice,432963,2025-09-17,,Inactive,,"This specification is for proofing, printing, binding, packing, mailing and shipping of comb bound books, with secure handling of PII required.",https://sam.gov/opp/4d123f3b138c45c49b050c24f5c6cf46/view,Advantage Mailing,
2026-CDS-0001 BE-ERP System,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV25Q0194,2025-09-16,2025-09-12,Inactive,,"Amendment 0002: The solicitation closing date has been extended to 10:00 AM (Eastern) September 22, 2025. No other changes. ====================================================================== Amendment 0001: Th",https://sam.gov/opp/345cd8db58c34b51ae643dd6f7895771/view,,
Diagnostic Letter Mailers,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,DiagnosticLetterMailers656S(2025),2025-09-16,2025-10-01,Inactive,,"These specifications cover the production of mailers consisting of a letter and mail-out envelope requiring such operations as electronic prepress, printing, binding, construction, gathering and inserting, and distribution. Comp",https://sam.gov/opp/8b46aaa39dfa4a279a6d5d3326a23e16/view,,
Holiday Tree Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25Q0184,2025-09-16,,Inactive,,,https://sam.gov/opp/b17431fedd964723bb1d53c93d999aa3/view,DISTRICT GREEN LLC,
Library of Congress - Madison Rooms Audio and Visual Equipment,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25R0045,2025-09-16,,Inactive,,,https://sam.gov/opp/d35e76a1db6040dba58b98fc04568d67/view,FORD AUDIO-VIDEO SYSTEMS LLC,
Contracting and Acquisitions Training Blanket Purchase Agreement (BPA),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-25-A-0003,2025-09-15,2025-08-06,Inactive,,"The U.S. Government Publishing Office’s (GPO) Workforce Development, Education, and Training (WDET) division manages all training for internal employees, including course offerings for the agency’s acquisition workforce and managers. G",https://sam.gov/opp/22e4b62a9e0742789fb378b75e899eeb/view,,
American Folklife Center Exhibition Audio Visual (AV) Design Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25R0024,2025-09-15,,Inactive,,,https://sam.gov/opp/560b8faf58fd4d7a9a1e2bdd7b35d9a9/view,HILLMANN & CARR INC,
GPO Sixth (6th) Floor- Building A - HVAC Duct Cleaning,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-25-R-0039,2025-09-15,2025-10-17,Inactive,,The US Government Publishing Office plans to purchase HVAC duct cleansing services for a federal facility located on the entire sixth floor of Building A. Please carefully read the solicitation document in its entirety.,https://sam.gov/opp/267c552e956146a3a123a30ac3fd80a6/view,,
Food Services,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,SOBFOODSERVICES2027,2025-09-12,2025-10-03,Inactive,,"SEE ATTACHMENTS: This sources sought synopsis is issued solely for information and planning purposes to gain knowledge of potential sources capable of fully satisfying a potential requirement. This is not a solicitation announcement, nor d",https://sam.gov/opp/20acbf3110a94374a1525a03b50095e1/view,,
"Appellate Briefs, Appendixes, and Addendums",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,4551S_r2,2025-09-12,2025-09-26,Inactive,,"These specifications cover the production of legal materials publications, requiring such operations as pickup, electronic prepress, proofs, printing, Case Management/Electronic Case Filing (CM./ECF), Appeals Case Management System (ACMS), perfect",https://sam.gov/opp/9dbe8a4eebbe4abbb1bc1bd379bfb416/view,,
Oversized 180-degree Book Imaging System,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25Q0214,2025-09-12,2025-09-29,Inactive,,Amendment 1 answers questions recieved. ----- The Library of Congress (Library) Collections Digitization Division (CDD) requires a contract to purchase an oversize book cradle system to be used in the digitization of collection mat,https://sam.gov/opp/0eaccf177a1144deacfd906b708b89cc/view,,
Veterans Crisis Line (VCL) Outreach Notecard Mailings,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,2528S_NotecardMailings,2025-09-11,2025-09-19,Inactive,,"These specifications cover the secure (PII/PHI) production of envelopes and notecards, requiring such operations as pickup of furnished materials, electronic prepress, proofs, address list processing, printing in black only or 4-color process, var",https://sam.gov/opp/4da73839b46f49b48cc203f9dba15e01/view,,
GPO Sixth (6th) Floor- Building A - HVAC Duct Cleaning,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-25-R-0033,2025-09-10,2025-09-15,Inactive,,"The US Government Publishing Office intends to procure HVAC duct cleaning services (Building A-6th Floor) for a federal facility. The HVAC ducts have accumulated lead particles, paper dust, and other debris over time, posing potential fire safety",https://sam.gov/opp/2656fd95f2704179b66a131a16fb1d9f/view,,
